Product,5th pctl,10th pctl,Median,90th pctl,95th pctl
Other Pulses,0.4,0.5,0.6,1.8,1.9
Peas,0.2,0.3,0.4,0.8,0.8
Nuts,-2.46,-2.24,-0.81,2.4,6.6
Groundnuts,0.5,0.6,1.3,2.2,2.3
Tofu,0.9,1,1.6,3.5,4.5
Bovine Meat (beef herd),19,20,30,105,135
Bovine Meat (dairy herd),7.6,9.1,17,26,29
Lamb & Mutton,12,12,20,27,30
Pig Meat,4.3,4.6,6.5,14,15
Poultry Meat,2.3,2.4,4.3,12,12
Milk,1.5,1.7,2.7,4.8,7
Cheese,4.6,4.9,8.4,18,27
Eggs,2.6,2.6,3.8,7.6,7.7
Fish (farmed),2.4,2.5,3.5,12,14
Crustaceans (farmed),5,5.4,10,35,78
