TaskID,Project,Task,Priority,Time Estimate,Due Date,Status,Notes
T-001,SFI,Google Request for webinars and such,High,Quick (< 15 min),03/22/2026,Not Started,
T-002,SFI,Cancel Webinar,High,Quick (< 15 min),03/22/2026,Not Started,
T-003,SFI,Gold Ambassadors- morning,High,Short (< 1 hr),03/22/2026,Not Started,
T-004,SFI,Email,High,Short (< 1 hr),03/22/2026,Not Started,
T-005,SFI,All spreadsheets- Count update- links to webinar information,High,Quick (< 15 min),03/22/2026,Not Started,
T-006,SFI,Follow-up with Italy,High,Quick (< 15 min),03/22/2026,Not Started,
T-007,SFI,Connect Emmanuel and Sebulon,High,Quick (< 15 min),03/22/2026,Not Started,
T-008,SFI,Follow-up to Dell,High,Quick (< 15 min),03/22/2026,Not Started,
T-009,SFI,Prep Monday Webinar,High,Medium (1-2 hrs),03/22/2026,Not Started,
T-010,SFI,Check 1:1 document from Jasvir,High,Quick (< 15 min),03/22/2026,Not Started,
T-011,AI innovators,Emails,High,Short (< 1 hr),03/22/2026,Not Started,
T-012,AI innovators,Update Hub and in both locations,High,Quick (< 15 min),03/22/2026,Not Started,
T-013,AI innovators,Check on all holds,High,Short (< 1 hr),03/22/2026,Not Started,
T-014,AI innovators,Plan and document process from here and send out,High,Short (< 1 hr),03/22/2026,Not Started,
T-015,AI innovators,Quick video,High,Medium (1-2 hrs),03/22/2026,Not Started,
T-016,Data Dunkers,IPS prep what we will do and what we will need,High,Long (2-4 hrs),03/22/2026,Not Started,
T-017,Data Dunkers,Course,High,Long (2-4 hrs),03/22/2026,Not Started,
T-018,Data Dunkers,Long term plan,High,Medium (1-2 hrs),03/22/2026,Not Started,
T-019,AIReady,Move all into Asana,High,Short (< 1 hr),03/22/2026,Not Started,
T-020,AIReady,Intel PM boards,High,Quick (< 15 min),03/22/2026,Not Started,
T-021,AIReady,My tracker update,High,Quick (< 15 min),03/22/2026,Not Started,
T-022,AIReady,Commitment form- Send again to all,High,Quick (< 15 min),03/22/2026,Not Started,
T-024,AIReady,Send email about Emmanuel,High,Quick (< 15 min),03/22/2026,Not Started,
T-025,AIReady,Reach out to Intel person about the page,High,Quick (< 15 min),03/22/2026,Not Started,
T-026,AIReady,Respond to emails,High,Short (< 1 hr),03/22/2026,Not Started,
T-027,AIReady,ALL PM documents that need to be created,High,Long (2-4 hrs),03/22/2026,Not Started,
T-028,AIReady,Offerings 3&4,High,Long (2-4 hrs),03/22/2026,Not Started,
T-029,AIReady,TD Synnex follow-up,High,Quick (< 15 min),03/22/2026,Not Started,
